reep_id,key_wikidata,name,country,key_transfermarkt,key_fbref,key_opta,key_opta_numeric,key_optacore,key_fotmob,key_whoscored
reep_la13477c1,Q152665,2. Bundesliga,,,33,,87,,146,6
reep_l1bdfee0a,Q50378554,2019–20 CONCACAF Nations League qualifying,,,,975,975,,,
reep_l42342d19,Q54810034,2022 FIFA World Cup qualification (UEFA),,,,336,336,,,
reep_l9eef4be6,Q136340655,2025–26 Senegal Ligue 1,,SEN1,,,,,,
reep_l5d92140b,Q154069,3. Liga,,,59,,,,208,308
reep_l2ab2855e,Q219586,A-League Men,,AUS1,65,xwnjb1az11zffwty3m6vn8y6,,,113,194
reep_lcddac94c,Q518802,A-League Women,,,196,,,,9495,
reep_l3359d9e2,Q229458,A-Liga,,,340,,,,256,
reep_lfc9c4ca8,Q157894,AFC Asian Cup,,AFAC,664,,,,,
reep_l3383ace3,Q54913816,AFC Asian Cup qualification,,,665,,,,,748
reep_l13674201,Q830320,AFC Women's Asian Cup,,,161,,,,,
reep_lf0e750d2,Q85738895,AFC Women's Asian Cup qualification,,,662,,,,,
reep_lf64373d0,Q100258079,Africa Cup of Nations qualification,,,657,,,,10608,747
reep_lbc90e30e,Q1422042,Africa Women Cup of Nations,,,156,,,,,
reep_l09b52ce7,Q83145,Afrique corrompu fédération,,AFCN,656,190,190,,289,
reep_l7c545fef,Q646110,Algarve Cup,,,214,,,,,
reep_l3f73c63b,Q647746,Algerian Ligue Professionnelle 1,,ALG1,,,,,,
reep_l238e6416,Q202243,Allsvenskan,,SE1,29,b60nisd3qn427jm0hrg9kvmab,,,67,40
reep_l1ca6d473,Q223170,Argentine Primera División,,ARG1,21,,,,112,68
reep_l8dc1beca,Q2299810,Armenian First League,,,,,,,,
reep_lf6a29180,Q84497979,Bangladesh Women's Football League,,,,,,,,
reep_lee620815,Q244464,Belarusian Premier League,,WER1,,,,,,
reep_l64eccec3,Q216022,Belgian Pro League,,BE1,37,4zwgbb66rif2spcoeeol2motx,,,,18
reep_l169ae47c,,Belgian Super Cup,Belgium,BESC,,,,,,
reep_l030b5b27,Q118954137,Big Five,,,Big5,,,,,
reep_lf8ceeadb,Q130272037,Buganda Masaza Cup,,,,,,,,
reep_l15d39c26,Q219592,Bundesliga,,A1,56,5c96g1zm7vo5ons9c42uy2w3r,,,38,32
reep_l91f82788,Q82595,Bundesliga,,L1,20,22,22,9,54,3
reep_lea7c581c,Q115938880,Busoga Masaza Cup,,,,,,,,
reep_ld7cecb28,Q219261,CAF Champions League,,,,741,741,,526,290
reep_lfe1742fc,Q83335,CONCACAF Champions Cup,,,,549,549,,297,222
reep_lb8d4f67f,Q189327,CONCACAF Gold Cup,,,681,380,380,,298,131
reep_l61cfd840,Q29000951,CONCACAF Nations League,,,,974,974,,9821,689
reep_le8c9f69c,Q611490,CONCACAF W Championship,,,157,,,,,
reep_l34be2d9a,Q206813,Campeonato Brasileiro Série A,,BRA1,24,363,363,,,95
reep_leeb62459,Q610175,Campeonato Brasileiro Série B,,,38,,,,,
reep_l61e9872c,Q5028272,Campeonato Brasileiro de Futebol Feminino,,,206,,,,,
reep_l1998cd15,Q55074683,Campeones Cup,,,,957,957,,,
reep_lde37af53,Q1032086,Canadian Championship,,,,552,552,,9837,
reep_l0abd55a1,Q25000566,Canadian Premier League,,,211,6lkj3o21cr4g7bql6tb3fk222,,,,
reep_l2f7dcd96,Q1033349,Categoría Primera A,,COL1,41,,,,,193
reep_lb0d8d57d,Q23925620,Challenger Pro League,,,69,af79lqrc0ntom74zq13ccjslo,,,,
reep_l6bbcd589,Q606832,Chilean Primera División,,,35,,,,,
reep_lbe62673d,Q209318,Chinese Super League,,,62,,,,,
reep_ld4775746,Q178750,Copa América,,COPA,685,128,128,,44,94
reep_l0593c758,Q568793,Copa América Femenina,,,158,,,,10368,
reep_l957834c1,Q130272380,Copa Coca-Cola secondary schools tournament (Uganda),,,,,,,,
reep_l9d90b1ca,Q184795,Copa Libertadores,,CLI,14,420,420,,45,105
reep_ldde3f606,Q60585,Copa Sudamericana,,,205,,,,299,146
reep_la96cdb25,Q105071625,Copa de la Liga Profesional,,,905,,,,10007,
reep_lc3c665d8,Q483794,Copa del Rey,,CDR,569,,,,138,14
reep_l47ebff07,Q169918,Coppa Italia,,CIT,529,,,,141,60
reep_l03c3235b,Q212412,Coupe de France,,,518,361,361,,134,16
reep_l0becf968,Q476539,Coupe de la Ligue,,,693,362,362,,,
